zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
47354,2021-09-02,1075,404,0.375813953488372
47355,2021-09-02,2752,803,0.291787790697674
47356,2021-09-02,5286,2286,0.432463110102157
47357,2021-09-02,822,396,0.481751824817518
47358,2021-09-02,1060,319,0.300943396226415
47359,2021-09-02,3013,896,0.29737802854298
47360,2021-09-02,1259,594,0.471803018268467
47361,2021-09-02,215,110,0.511627906976744
47362,2021-09-02,29873,13203,0.441971010611589
47367,2021-09-02,57,0,0
47368,2021-09-02,2831,1113,0.393147297774638
47369,2021-09-02,1320,318,0.240909090909091
47371,2021-09-02,12200,3851,0.315655737704918
47373,2021-09-02,2404,693,0.288269550748752
47374,2021-09-02,45571,18072,0.39656799280244
47380,2021-09-02,1476,583,0.394986449864499
47381,2021-09-02,122,30,0.245901639344262
47382,2021-09-02,255,53,0.207843137254902
47383,2021-09-02,3133,1228,0.391956591126716
47384,2021-09-02,2044,753,0.36839530332681
47385,2021-09-02,1277,636,0.49804228660924
47386,2021-09-02,1206,495,0.41044776119403
47387,2021-09-02,730,241,0.33013698630137
47388,2021-09-02,335,144,0.429850746268657
47390,2021-09-02,4960,1509,0.304233870967742
47393,2021-09-02,1825,456,0.24986301369863
47394,2021-09-02,8334,3107,0.372810175185985
47396,2021-09-02,6903,3829,0.55468636824569
47401,2021-09-02,43279,27679,0.639548048707225
47403,2021-09-02,33505,17762,0.530129831368453
47404,2021-09-02,23832,12335,0.517581403155421
47405,2021-09-02,3697,109,0.0294833648904517
47406,2021-09-02,3945,1345,0.340937896070976
47408,2021-09-02,25804,12804,0.496202139203224
47420,2021-09-02,439,78,0.177676537585421
47421,2021-09-02,27417,11692,0.426450742240216
47424,2021-09-02,8965,3748,0.418070273284997
47427,2021-09-02,662,313,0.472809667673716
47429,2021-09-02,9269,4065,0.438558636314597
47431,2021-09-02,1584,500,0.315656565656566
47432,2021-09-02,4386,1978,0.450980392156863
47433,2021-09-02,4039,1432,0.354543203763308
47434,2021-09-02,0,0,
47436,2021-09-02,1379,604,0.437998549673677
47437,2021-09-02,155,21,0.135483870967742
47438,2021-09-02,4475,1449,0.323798882681564
47441,2021-09-02,9153,3713,0.405659346662297
47443,2021-09-02,1275,418,0.327843137254902
47446,2021-09-02,10393,3575,0.343981526027134
47448,2021-09-02,7261,4126,0.568241289078639
47449,2021-09-02,400,209,0.5225
47451,2021-09-02,1111,482,0.433843384338434
47452,2021-09-02,5360,1815,0.338619402985075
47453,2021-09-02,683,167,0.244509516837482
47454,2021-09-02,7046,3187,0.452313369287539
47455,2021-09-02,76,0,0
47456,2021-09-02,1352,429,0.317307692307692
47457,2021-09-02,192,11,0.0572916666666667
47458,2021-09-02,58,0,0
47459,2021-09-02,3597,1435,0.398943564081179
47460,2021-09-02,10917,4731,0.433360813410278
47462,2021-09-02,4812,1922,0.399418121363258
47464,2021-09-02,212,77,0.363207547169811
47465,2021-09-02,520,257,0.494230769230769
47467,2021-09-02,167,0,0
47468,2021-09-02,1510,764,0.505960264900662
47469,2021-09-02,1828,674,0.368708971553611
47470,2021-09-02,1580,487,0.308227848101266
47471,2021-09-02,2746,872,0.31755280407866
47501,2021-09-02,17882,6572,0.367520411587071
47512,2021-09-02,4095,1181,0.288400488400488
47513,2021-09-02,2222,787,0.354185418541854
47514,2021-09-02,1556,946,0.607969151670951
47515,2021-09-02,880,309,0.351136363636364
47516,2021-09-02,1100,513,0.466363636363636
47519,2021-09-02,847,128,0.15112160566706
47520,2021-09-02,2786,1288,0.462311557788945
47521,2021-09-02,692,387,0.559248554913295
47522,2021-09-02,437,70,0.160183066361556
47523,2021-09-02,3346,1381,0.412731619844591
47524,2021-09-02,612,188,0.30718954248366
47525,2021-09-02,281,201,0.715302491103203
47527,2021-09-02,1935,711,0.367441860465116
47528,2021-09-02,504,233,0.462301587301587
47529,2021-09-02,1173,295,0.251491901108269
47531,2021-09-02,945,415,0.439153439153439
