zcta,downloadDate,cases
46226,2021-08-12,4023
46227,2021-08-12,7026
46038,2021-08-12,5181
46060,2021-08-12,5151
46112,2021-08-12,4616
46123,2021-08-12,4806
46307,2021-08-12,8343
46350,2021-08-12,5082
46360,2021-08-12,4763
46516,2021-08-12,5126
47711,2021-08-12,3872
47714,2021-08-12,3864
47802,2021-08-12,4768
47905,2021-08-12,5242
46835,2021-08-12,4214
47906,2021-08-12,9210
46033,2021-08-12,3693
46037,2021-08-12,5288
47431,2021-08-16,
47467,2021-08-16,
47522,2021-08-16,
47536,2021-08-16,
47123,2021-08-16,
47162,2021-08-16,
47226,2021-08-16,
47524,2021-08-16,
46103,2021-08-16,
46348,2021-08-16,
46377,2021-08-16,
46379,2021-08-16,
47861,2021-08-16,
47866,2021-08-16,
47983,2021-08-16,
47994,2021-08-16,
46930,2021-08-16,
46957,2021-08-16,
46961,2021-08-16,
46967,2021-08-16,
46931,2021-08-16,
47116,2021-08-16,
47120,2021-08-16,
47351,2021-08-16,
46731,2021-08-16,
46799,2021-08-16,
46920,2021-08-16,
46943,2021-08-16,
46502,2021-08-16,
46771,2021-08-16,
46922,2021-08-16,
46968,2021-08-16,
46110,2021-08-16,
46125,2021-08-16,
46155,2021-08-16,
46290,2021-08-16,
47982,2021-08-16,
46144,2021-08-16,
46183,2021-08-16,
47263,2021-08-16,
47596,2021-08-16,
47612,2021-08-16,
47854,2021-08-16,
47881,2021-08-16,
46998,2021-08-16,
47034,2021-08-16,
47035,2021-08-16,
47434,2021-08-16,
47552,2021-08-16,
47576,2021-08-16,
47683,2021-08-16,
47836,2021-08-16,
47437,2021-08-16,
47574,2021-08-16,
47580,2021-08-16,
47654,2021-08-16,
47884,2021-08-16,
47924,2021-08-16,
47925,2021-08-16,
47969,2021-08-16,
47857,2021-08-16,
47942,2021-08-16,
47949,2021-08-16,
47964,2021-08-16,
47451,2021-08-16,
47465,2021-08-16,
47529,2021-08-16,
47578,2021-08-16,
47344,2021-08-16,
47361,2021-08-16,
47367,2021-08-16,
47381,2021-08-16,
47584,2021-08-16,
47597,2021-08-16,
47876,2021-08-16,
47943,2021-08-16,
47537,2021-08-16,
47590,2021-08-16,
47640,2021-08-16,
47849,2021-08-16,
46988,2021-08-16,
47010,2021-08-16,
47036,2021-08-16,
47270,2021-08-16,
46958,2021-08-16,
47160,2021-08-16,
47247,2021-08-16,
47337,2021-08-16,
46345,2021-08-16,
46376,2021-08-16,
46381,2021-08-16,
46537,2021-08-16,
47853,2021-08-16,
47863,2021-08-16,
47871,2021-08-16,
47880,2021-08-16,
47464,2021-08-16,
47869,2021-08-16,
47907,2021-08-16,
47916,2021-08-16,
46984,2021-08-16,
47016,2021-08-16,
47104,2021-08-16,
47114,2021-08-16,
47525,2021-08-16,
47535,2021-08-16,
47575,2021-08-16,
47577,2021-08-16,
47997,2021-08-16,
46045,2021-08-16,
46047,2021-08-16,
46063,2021-08-16,
46146,2021-08-16,
46508,2021-08-16,
46704,2021-08-16,
46946,2021-08-16,
46393,2021-08-16,
46595,2021-08-16,
46781,2021-08-16,
46786,2021-08-16,
47955,2021-08-16,
47958,2021-08-16,
47981,2021-08-16,
46915,2021-08-16,
47420,2021-08-16,
47455,2021-08-16,
47458,2021-08-16,
47519,2021-08-16,
47860,2021-08-16,
46111,2021-08-16,
46117,2021-08-16,
46127,2021-08-16,
47282,2021-08-16,
47335,2021-08-16,
47382,2021-08-16,
47388,2021-08-16,
47231,2021-08-16,
47264,2021-08-16,
47324,2021-08-16,
47360,2021-08-16,166
46950,2021-08-16,
47135,2021-08-16,
47147,2021-08-16,
47163,2021-08-16,155
47110,2021-08-16,
47223,2021-08-16,
47234,2021-08-16,
47244,2021-08-16,
47708,2021-08-16,
47832,2021-08-16,
47841,2021-08-16,204
47929,2021-08-16,
47224,2021-08-16,
47616,2021-08-16,
47980,2021-08-16,
46104,2021-08-16,
47354,2021-08-16,
47386,2021-08-16,
47453,2021-08-16,
47528,2021-08-16,
47280,2021-08-16,
47325,2021-08-16,
47385,2021-08-16,185
47449,2021-08-16,
46759,2021-08-16,
46974,2021-08-16,145
47011,2021-08-16,
47017,2021-08-16,
47521,2021-08-16,
47551,2021-08-16,
47585,2021-08-16,
47966,2021-08-16,
47345,2021-08-16,
47352,2021-08-16,
47515,2021-08-16,
47531,2021-08-16,
47917,2021-08-16,
47921,2021-08-16,
47926,2021-08-16,
47940,2021-08-16,
46791,2021-08-16,
46913,2021-08-16,
46959,2021-08-16,
46987,2021-08-16,
47991,2021-08-16,
46039,2021-08-16,
46171,2021-08-16,141
46524,2021-08-16,192
47951,2021-08-16,208
47968,2021-08-16,
47992,2021-08-16,
46049,2021-08-16,
47550,2021-08-16,
47568,2021-08-16,
47837,2021-08-16,
47855,2021-08-16,
47840,2021-08-16,156
47858,2021-08-16,
47862,2021-08-16,157
47941,2021-08-16,
47965,2021-08-16,
46057,2021-08-16,
46058,2021-08-16,342
46150,2021-08-16,
47847,2021-08-16,
47859,2021-08-16,
47928,2021-08-16,175
47948,2021-08-16,
47387,2021-08-16,
47468,2021-08-16,
47470,2021-08-16,155
47514,2021-08-16,239
47561,2021-08-16,174
47588,2021-08-16,
47649,2021-08-16,
47833,2021-08-16,
47967,2021-08-16,
46076,2021-08-16,164
46216,2021-08-16,220
46301,2021-08-16,
46990,2021-08-16,
47038,2021-08-16,96
47166,2021-08-16,
47281,2021-08-16,
47142,2021-08-16,
47339,2021-08-16,
47342,2021-08-16,247
47369,2021-08-16,
47541,2021-08-16,
47557,2021-08-16,
47846,2021-08-16,
47848,2021-08-16,181
46760,2021-08-16,
46917,2021-08-16,208
46982,2021-08-16,248
47326,2021-08-16,124
47427,2021-08-16,
47469,2021-08-16,172
47513,2021-08-16,188
47516,2021-08-16,
46705,2021-08-16,174
46730,2021-08-16,
46794,2021-08-16,144
46798,2021-08-16,119
46941,2021-08-16,
46986,2021-08-16,196
46991,2021-08-16,184
47115,2021-08-16,252
46133,2021-08-16,
46147,2021-08-16,327
46180,2021-08-16,
46763,2021-08-16,158
46985,2021-08-16,
47020,2021-08-16,
47023,2021-08-16,165
47030,2021-08-16,149
47989,2021-08-16,
46068,2021-08-16,341
46105,2021-08-16,174
46156,2021-08-16,
46165,2021-08-16,
46531,2021-08-16,
46571,2021-08-16,269
46702,2021-08-16,227
46070,2021-08-16,272
46162,2021-08-16,
46175,2021-08-16,
46745,2021-08-16,250
47611,2021-08-16,
47619,2021-08-16,211
47631,2021-08-16,221
47637,2021-08-16,180
46340,2021-08-16,
46365,2021-08-16,
46747,2021-08-16,271
47003,2021-08-16,
47145,2021-08-16,186
47230,2021-08-16,180
47272,2021-08-16,188
47273,2021-08-16,182
46764,2021-08-16,
46766,2021-08-16,
46776,2021-08-16,
46788,2021-08-16,323
47357,2021-08-16,
47373,2021-08-16,226
47436,2021-08-16,125
47527,2021-08-16,254
46056,2021-08-16,220
46065,2021-08-16,470
46149,2021-08-16,195
46374,2021-08-16,
47950,2021-08-16,
47977,2021-08-16,272
47995,2021-08-16,200
46030,2021-08-16,334
47227,2021-08-16,122
47235,2021-08-16,174
47380,2021-08-16,145
47384,2021-08-16,241
47141,2021-08-16,165
47175,2021-08-16,
47340,2021-08-16,222
47341,2021-08-16,188
46919,2021-08-16,276
47108,2021-08-16,181
47125,2021-08-16,131
47177,2021-08-16,
46911,2021-08-16,
46939,2021-08-16,170
46960,2021-08-16,
46979,2021-08-16,675
47930,2021-08-16,
47974,2021-08-16,
46017,2021-08-16,588
46035,2021-08-16,
47459,2021-08-16,294
47471,2021-08-16,218
47558,2021-08-16,271
47613,2021-08-16,317
47346,2021-08-16,395
47356,2021-08-16,662
47393,2021-08-16,130
47456,2021-08-16,
47564,2021-08-16,
47615,2021-08-16,142
46051,2021-08-16,307
46160,2021-08-16,646
47805,2021-08-16,1594
47358,2021-08-16,
47523,2021-08-16,466
47532,2021-08-16,611
47598,2021-08-16,380
47579,2021-08-16,403
47581,2021-08-16,277
47850,2021-08-16,238
47922,2021-08-16,256
46120,2021-08-16,566
46130,2021-08-16,232
46172,2021-08-16,211
46182,2021-08-16,237
47024,2021-08-16,233
47118,2021-08-16,286
47283,2021-08-16,322
47305,2021-08-16,332
47635,2021-08-16,611
47809,2021-08-16,48
47952,2021-08-16,248
47959,2021-08-16,347
46510,2021-08-16,322
46532,2021-08-16,168
46543,2021-08-16,321
46737,2021-08-16,765
47368,2021-08-16,312
47390,2021-08-16,461
47438,2021-08-16,425
47452,2021-08-16,485
46542,2021-08-16,566
46555,2021-08-16,335
46770,2021-08-16,313
46773,2021-08-16,444
46732,2021-08-16,340
46740,2021-08-16,231
46741,2021-08-16,330
46746,2021-08-16,466
47648,2021-08-16,660
47868,2021-08-16,193
47918,2021-08-16,712
46148,2021-08-16,561
47432,2021-08-16,523
47512,2021-08-16,398
47633,2021-08-16,313
