zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
46601,0.172601554202824,914,110,2569,2420,27,423,275,0.188210415014539,urban
46356,0.669851510466333,3690,374,16324,27,27,1182,160,0.183963482904143,rural
46366,0.723013649193487,900,257,5357,12,2,152,87,0.124806601340897,rural
46373,0.653434533427537,2446,852,13470,359,266,1618,370,0.360640897981352,suburban
46393,0.64406779661017,9,0,269,0,0,0,27,0.0411985018726592,rural
46409,0.0434770208458943,1335,106,646,5843,0,585,131,0.116459310626147,suburban
46033,0.586481186540353,7610,1557,33658,580,2680,1346,678,0.73421926910299,suburban
46036,0.684067050959508,2017,70,11007,2,36,530,103,0.123802505526898,suburban
46540,0.812484754038278,1790,695,11227,165,0,383,106,0.220844363940365,rural
46567,0.776169042831848,1297,274,8497,54,0,344,267,0.266169154228856,rural
46613,0.320887007451583,2070,238,5042,2743,103,2639,800,0.119725063938619,urban
46616,0.264803032812939,826,188,3332,1271,46,599,209,0.274,urban
46619,0.280267450782577,4449,794,7914,5146,97,7609,705,0.112234885651747,suburban
46701,0.796421964159698,1217,75,7763,66,0,137,136,0.122129436325679,rural
46711,0.856273521546423,1360,753,8342,263,46,65,54,0.186350021394951,rural
46740,0.826984679119645,509,206,3625,7,21,141,80,0.0975725844835793,rural
46747,0.803094943762852,380,10,2217,2,0,13,60,0.168823529411765,rural
46240,0.400377008647228,1841,650,15451,2267,1160,490,417,0.551114878080584,suburban
46310,0.743722609290722,2382,321,12786,2,0,876,168,0.136805484498107,rural
46923,0.730713448420312,1269,196,7310,23,8,678,27,0.174019180470793,rural
46936,0.806530144943792,982,112,5602,6,49,154,46,0.23047619047619,rural
46952,0.689206554927764,2638,556,16238,1122,326,689,250,0.212342402123424,suburban
46957,0.740740740740741,82,0,588,0,0,0,4,0.0995575221238938,suburban
46968,0.69597726460131,45,0,139,0,0,3,0,0,rural
46982,0.846637182232323,490,35,2579,0,4,54,23,0.123924268502582,rural
46986,0.805721634915429,333,44,1566,19,6,37,55,0.191399662731872,rural
46511,0.650376055133771,594,124,4185,10,3,28,82,0.274198769828423,rural
46526,0.589497248792218,5850,988,24591,627,405,6864,630,0.260552787440068,suburban
46528,0.697051911225155,5656,890,20440,519,452,4927,663,0.204125133220488,suburban
46544,0.588801657777909,4781,881,27291,1601,273,1609,1214,0.231861928558208,urban
46553,0.851553789810221,594,54,2798,0,19,411,12,0.118788452437293,rural
46571,0.811766880655562,868,665,5515,0,0,61,106,0.0449961210240497,rural
46595,0.738666666666667,44,0,133,0,0,0,0,0.104477611940299,rural
46703,0.700506510389748,2466,191,17121,98,90,520,435,0.25227694043685,rural
46705,0.76362350366327,364,58,1491,1,45,48,97,0.0931065353625783,rural
46714,0.782054397145076,2733,468,14040,217,90,498,86,0.186423505572442,suburban
46731,0.836741095729883,70,0,743,0,0,16,0,0.139489194499018,rural
46766,0.780933062880324,122,0,683,0,0,54,0,0.103092783505155,rural
46767,0.707848840708605,1609,275,4844,9,73,3079,97,0.0554862842892768,rural
46011,0.585975962144236,2559,362,13640,2284,84,604,457,0.233964419781296,suburban
46013,0.606599019314178,2344,372,14553,1015,189,463,916,0.148267061825965,urban
46041,0.717181559038501,4093,437,16855,151,78,4947,216,0.158179172729162,rural
46044,0.736888455626511,664,36,2974,8,20,73,72,0.188026192703461,suburban
46075,0.64475342892116,1067,355,5495,441,169,310,199,0.518999518999519,suburban
46111,0.790362251446533,31,0,184,0,0,9,3,0.0875912408759124,rural
46115,0.833465648955658,399,6,1860,0,0,67,40,0.18997756170531,rural
46125,0.801980198019802,0,0,55,0,0,0,0,0,rural
46127,0.821855819399879,30,22,287,0,0,0,0,0,rural
46149,0.823573696782039,443,22,2115,0,0,10,28,0.27802037845706,rural
46157,0.800084485539552,621,90,3968,10,5,66,54,0.195157209974702,rural
46171,0.817491593496921,415,20,1673,0,0,30,59,0.144270403957131,rural
